player_name,position
Simone Canestreli,CB
Antonio Caracciolo,CB
Enrico Delprato,RB
Daniel Heuer Fernandes,GK
Kenan Yildiz,LWF
Alisson Becker,GK
Montassar Talbi,CB
Wesley,RB
Tarik Muharemovic,CB
Dan Ballard,CB
Arsène Kouassi,LB
Kojo Peprah Oppong,CB
Sebastian Sebulonsen,RB
Jon Gorrotxategi,DMF
Torbjørn Heggem,CB
Danny Namaso,LWF
Koffi Kouao,RB
Samuele Angori,LCMF
Sascha Britschgi,RB
Armand Laurienté,LWF
Josh Doig,LB
Matteo Bianchetti,CB
Federico Bonazzoli,CF
Florentino,DMF
Nicoḷ Bertola,CB
Urko González de Zárate,DMF
Oliver Sørensen, MF
Stefano Moreo,CF
Tasos Douvikas,CF
Kristian Thorstvedt,MF
Nicolás Capaldo,MF
Arthur Avom,MF
Giovane,CF
Adrian Semper,GK
Alberto Reina,MF
Jari Vandeputte,MF
Edoardo Corvi,GK
Abner Vinícius,LB
Rahim Alhassane,LB
Nikola Stulic,CF
Tommaso Barbieri,RB
Patrick Dorgu,LB
Karl Etta Eyong,CF
Lukasz Skorupski,GK
Domenico Berardi,RWF
Miguel Román,MF
Jakub Piotrowski,MF
Niklas Beste,RWF
Marius Marin,DMF
Petar Sucic,MF
Ismaëlo Ganiou,CB
Saïd El Mala,LWF
Mattéo Tramoni,AMF
Mehdi Léris,RWF
Valentín Gómez,LB
Lorenzo Bernasconi,MF
Toma Basic,MF
Kervin Arriaga,MF
Rafik Belghali,RB
Junior Diaz,CB
Lucas Pires,LB
Youssef Enríquez,LB
Junior Kroupi,CF
Francesco Pio Esposito,CF
Zé Pedro,CB
Arturo Calabresi,CB
Martin Vitík,CB
Toti Gomes,CB
Gennaro Borrelli,CF
Woo-yeong Jeong,AMF
Lennart Karl, AMF
Dehmaine Tabibou,MF
Cheikh Sabaly,LWF
Mariano Troilo,CB
Ebenezer Akinsanmiro,MF
Pacha Espino,LB
Joel Roca,LWF
Roger Brugué,LWF
Martin Baturina,AMF
Semih Kiliçsoy,CF
Santiago Hidalgo,CF
Beraldo,CB
Franco Israel,GK
Jamil Siebert,CB
Riyad Idrissi,LB
Romano Floriani Mussolini,RB
Derry Scherhant,LWF
Al Musrati,DMF
Kevin Carlos,CF
Federico Bernardeschi,RWF
Eliezer Mayenda,CF
Kenneth Taylor,MF
Pape Diop,MF
Jayden Addai,RWF
Luca Lipani,MF
Christian Ordóñez,MF
Kareem Tunde,RWF
Noa Lang,LWF
Timothée Kolodziejczak,CB
Gabriele Piccinini,MF
Lennon Miller,MF
Tani Oluwaseyi,CF
Cristian Volpato,AMF
Justin Bijlow,GK
Zaid Romero,CB
Omri Gandelman,AMF
Nicolas Kühn,RWF
Adam Buksa,CF
Nelson Deossa,MF
Antonio Vergara,AMF
